[Cleaning Log] 2026-06-11 08:25:18.546097
[OK] case_001.txt         | pct= 98.5% | tokens=  521
[OK] case_002.txt         | pct= 98.4% | tokens=  517
[OK] case_003.txt         | pct= 98.4% | tokens=  501
[OK] case_004.txt         | pct= 98.5% | tokens=  518
[OK] case_005.txt         | pct= 98.4% | tokens=  504
[OK] case_006.txt         | pct= 98.4% | tokens=  508
[OK] case_007.txt         | pct= 98.5% | tokens=  518
[OK] case_008.txt         | pct= 98.4% | tokens=  510
[OK] case_009.txt         | pct= 98.5% | tokens=  525
[OK] case_010.txt         | pct= 98.5% | tokens=  518
[OK] case_011.txt         | pct= 98.4% | tokens=  511
[OK] case_012.txt         | pct= 98.4% | tokens=  510
[OK] case_013.txt         | pct= 98.4% | tokens=  514
[OK] case_014.txt         | pct= 98.4% | tokens=  507
[OK] case_015.txt         | pct= 98.4% | tokens=  503
[OK] case_016.txt         | pct= 98.4% | tokens=  514
[OK] case_017.txt         | pct= 98.5% | tokens=  515
[OK] case_018.txt         | pct= 98.4% | tokens=  514
[OK] case_019.txt         | pct= 98.4% | tokens=  512
[OK] case_020.txt         | pct= 98.4% | tokens=  505
[OK] case_021.txt         | pct= 98.4% | tokens=  513
[OK] case_022.txt         | pct= 98.5% | tokens=  515
[OK] case_023.txt         | pct= 98.4% | tokens=  511
[OK] case_024.txt         | pct= 98.4% | tokens=  511
[OK] case_025.txt         | pct= 98.4% | tokens=  510
[OK] case_026.txt         | pct= 98.4% | tokens=  512
[OK] case_027.txt         | pct= 98.4% | tokens=  506
[OK] case_028.txt         | pct= 98.5% | tokens=  517
[OK] case_029.txt         | pct= 98.4% | tokens=  508
[OK] case_030.txt         | pct= 98.5% | tokens=  518
[OK] case_031.txt         | pct= 98.4% | tokens=  510
[OK] case_032.txt         | pct= 98.4% | tokens=  514
[OK] case_033.txt         | pct= 98.4% | tokens=  501
[OK] case_034.txt         | pct= 98.5% | tokens=  514
[OK] case_035.txt         | pct= 98.4% | tokens=  512
